"No.","Time","Source","Destination","Protocol","Length","Info"
"665","31.836564","11.100.87.183","5.135.215.43","RTP","122","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=29, Time=4136389573"
"667","31.836818","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=30, Time=4136390533"
"668","31.861912","5.135.215.43","11.100.87.183","RTP","123","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=118, Time=3691754166"
"669","31.866541","11.100.87.183","5.135.215.43","RTP","115","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=31, Time=4136391493"
"672","31.881525","5.135.215.43","11.100.87.183","RTP","126","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=119, Time=3691755126"
"673","31.899079","11.100.87.183","5.135.215.43","RTP","115","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=32, Time=4136392453"
"674","31.899280","11.100.87.183","5.135.215.43","RTP","116","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=33, Time=4136393413"
"675","31.903074","5.135.215.43","11.100.87.183","RTP","125","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=120, Time=3691756086"
"676","31.927640","5.135.215.43","11.100.87.183","RTP","116","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=121, Time=3691757046"
"677","31.927640","5.135.215.43","11.100.87.183","RTP","113","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=122, Time=3691758006"
"678","31.928557","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=34, Time=4136394373"
"691","31.959368","11.100.87.183","5.135.215.43","RTP","119","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=35, Time=4136395333"
"692","31.959537","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=36, Time=4136396293"
"693","31.991111","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=37, Time=4136397253"
"694","31.991283","11.100.87.183","5.135.215.43","RTP","109","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=38, Time=4136398213"
"695","32.004213","5.135.215.43","11.100.87.183","RTP","115","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=123, Time=3691758966"
"704","32.004213","5.135.215.43","11.100.87.183","RTP","112","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=124, Time=3691759926"
"706","32.004213","5.135.215.43","11.100.87.183","RTP","106","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=125, Time=3691760886"
"708","32.020461","5.135.215.43","11.100.87.183","RTP","116","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=126, Time=3691761846"
"709","32.022354","11.100.87.183","5.135.215.43","RTP","114","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=39, Time=4136399173"
"713","32.052269","11.100.87.183","5.135.215.43","RTP","112","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=40, Time=4136400133"
"717","32.052581","11.100.87.183","5.135.215.43","RTP","114","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=41, Time=4136401093"
"718","32.054792","5.135.215.43","11.100.87.183","RTP","116","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=127, Time=3691762806"
"722","32.083758","11.100.87.183","5.135.215.43","RTP","114","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=42, Time=4136402053"
"723","32.084066","11.100.87.183","5.135.215.43","RTP","110","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=43, Time=4136403013"
"727","32.113274","5.135.215.43","11.100.87.183","RTP","115","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=128, Time=3691763766"
"728","32.113274","5.135.215.43","11.100.87.183","RTP","120","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=129, Time=3691764726"
"729","32.113274","5.135.215.43","11.100.87.183","RTP","117","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=130, Time=3691765686"
"730","32.113274","5.135.215.43","11.100.87.183","RTP","112","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=131, Time=3691766646"
"731","32.114849","11.100.87.183","5.135.215.43","RTP","117","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=44, Time=4136403973"
"733","32.132717","5.135.215.43","11.100.87.183","RTP","121","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=132, Time=3691767606"
"734","32.145214","11.100.87.183","5.135.215.43","RTP","110","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=45, Time=4136404933"
"737","32.151360","5.135.215.43","11.100.87.183","RTP","114","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=133, Time=3691768566"
"738","32.177659","11.100.87.183","5.135.215.43","RTP","109","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=46, Time=4136405893"
"739","32.177840","11.100.87.183","5.135.215.43","RTP","110","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=47, Time=4136406853"
"740","32.181449","5.135.215.43","11.100.87.183","RTP","124","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=134, Time=3691769526"
"746","32.193001","11.100.87.183","5.135.215.43","RTP","113","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=48, Time=4136407813"
"747","32.201556","5.135.215.43","11.100.87.183","RTP","121","PT=DynamicRTP-Type-96, SSRC=0x34FA078C, Seq=135, Time=3691770486"
